County,Date,average_percent_change_from_baseline,New Cases
Alachua County,43900,4.0,1
Alachua County,43903,4.5,1
Alachua County,43904,-1.5,1
Alachua County,43906,-3.3333333333333335,1
Alachua County,43907,-4.166666666666667,2
Alachua County,43908,-9.666666666666666,3
Alachua County,43909,-11.5,2
Alachua County,43910,-15.0,5
Alachua County,43911,-18.5,13
Alachua County,43912,-21.333333333333332,5
Alachua County,43913,-20.0,2
Alachua County,43914,-26.833333333333332,9
Alachua County,43915,-27.333333333333332,1
Alachua County,43916,-24.833333333333332,10
Alachua County,43917,-27.333333333333332,10
Alachua County,43918,-31.0,4
Alachua County,43919,-30.833333333333332,5
Alachua County,43920,-28.333333333333332,11
Alachua County,43921,-28.666666666666668,6
Alachua County,43922,-24.666666666666668,4
Alachua County,43923,-25.0,12
Alachua County,43924,-28.666666666666668,7
Alachua County,43925,-32.833333333333336,6
Alachua County,43926,-36.666666666666664,8
Alachua County,43927,-28.666666666666668,5
Alachua County,43928,-27.333333333333332,6
Alachua County,43929,-28.5,9
Alachua County,43930,-28.0,14
Alachua County,43931,-28.166666666666668,9
Alachua County,43932,-29.333333333333332,8
Alachua County,43933,-43.166666666666664,1
Alachua County,43934,-34.5,8
Alachua County,43935,-36.5,4
Alachua County,43936,-34.666666666666664,5
Alachua County,43937,-27.333333333333332,4
Alachua County,43938,-28.833333333333332,1
Alachua County,43939,-35.0,4
Alachua County,43940,-30.666666666666668,4
Alachua County,43941,-33.166666666666664,10
Alachua County,43942,-27.166666666666668,6
Alachua County,43943,-26.5,3
Alachua County,43944,-27.833333333333332,13
Alachua County,43945,-34.166666666666664,4
Alachua County,43946,-29.333333333333332,5
Alachua County,43947,-28.666666666666668,2
Alachua County,43948,-25.333333333333332,2
Alachua County,43949,-26.166666666666668,5
Alachua County,43950,-25.333333333333332,3
Alachua County,43951,-25.666666666666668,9
Alachua County,43952,-22.833333333333332,3
Alachua County,43953,-26.333333333333332,10
Alachua County,43954,-25.333333333333332,3
Alachua County,43955,-25.5,1
Alachua County,43956,-23.0,4
Alachua County,43957,-24.5,4
Alachua County,43958,-20.833333333333332,9
Alachua County,43960,-23.166666666666668,5
Alachua County,43961,-26.833333333333332,4
Alachua County,43962,-23.833333333333332,6
Alachua County,43963,-21.0,4
Alachua County,43964,-21.333333333333332,3
Alachua County,43966,-22.5,2
Alachua County,43967,-22.5,3
Alachua County,43968,-21.5,4
Alachua County,43969,-24.333333333333332,3
Alachua County,43970,-20.833333333333332,3
Alachua County,43971,-20.166666666666668,4
Alachua County,43972,-20.333333333333332,3
Alachua County,43973,-19.833333333333332,5
Alachua County,43974,-21.666666666666668,4
Alachua County,43975,-18.5,6
Alachua County,43976,-33.166666666666664,2
Alachua County,43977,-22.833333333333332,3
Alachua County,43978,-21.666666666666668,2
Alachua County,43979,-23.666666666666668,5
Alachua County,43980,-22.666666666666668,1
Alachua County,43981,-14.833333333333334,3
Alachua County,43982,-15.666666666666666,1
Alachua County,43983,-18.833333333333332,1
Alachua County,43984,-18.166666666666668,1
Alachua County,43985,-19.166666666666668,2
Alachua County,43986,-21.666666666666668,2
Alachua County,43987,-20.166666666666668,7
Alachua County,43988,-25.666666666666668,4
Alachua County,43989,-28.666666666666668,1
Alachua County,43990,-21.5,5
Alachua County,43991,-20.666666666666668,7
Alachua County,43992,-21.333333333333332,30
Alachua County,43993,-19.666666666666668,60
Alachua County,43994,-19.166666666666668,22
Alachua County,43995,-14.0,12
Alachua County,43996,-12.833333333333334,9
Alachua County,43997,-16.666666666666668,13
Alachua County,43998,-16.666666666666668,16
Alachua County,43999,-17.5,12
Alachua County,44000,-14.833333333333334,32
Alachua County,44001,-18.666666666666668,38
Alachua County,44002,-14.333333333333334,40
Alachua County,44003,-15.333333333333334,28
Alachua County,44004,-19.0,39
Alachua County,44005,-18.333333333333332,46
Alachua County,44006,-17.333333333333332,59
Alachua County,44007,-17.0,82
Alachua County,44008,-19.666666666666668,91
Alachua County,44009,-18.666666666666668,83
Alachua County,44010,-16.0,43
Alachua County,44011,-20.333333333333332,39
Alachua County,44012,-19.5,47
Alachua County,44013,-17.666666666666668,91
Alachua County,44014,-15.333333333333334,89
Alachua County,44015,-22.166666666666668,85
Alachua County,44016,-31.0,70
Alachua County,44017,-22.333333333333332,52
Alachua County,44018,-20.666666666666668,71
Alachua County,44019,-20.666666666666668,89
Alachua County,44020,-19.5,82
Alachua County,44021,-18.833333333333332,104
Alachua County,44022,-22.166666666666668,72
Alachua County,44023,-19.5,43
Alachua County,44024,-18.666666666666668,86
Alachua County,44025,-20.666666666666668,87
Alachua County,44026,-19.333333333333332,65
Alachua County,44027,-20.333333333333332,74
Alachua County,44028,-19.5,67
Alachua County,44029,-20.833333333333332,65
Alachua County,44030,-20.0,85
Alachua County,44031,-17.5,65
Alachua County,44032,-20.333333333333332,53
Alachua County,44033,-21.833333333333332,76
Alachua County,44034,-21.833333333333332,84
Alachua County,44035,-20.333333333333332,95
Alachua County,44036,-20.166666666666668,70
Alachua County,44037,-18.5,93
Alachua County,44038,-18.333333333333332,45
Alachua County,44039,-21.666666666666668,107
Alachua County,44040,-22.0,59
Alachua County,44041,-22.833333333333332,89
Alachua County,44042,-19.166666666666668,76
Alachua County,44043,-18.166666666666668,64
Alachua County,44044,-19.0,74
Alachua County,44045,-21.0,81
Alachua County,44046,-20.5,59
Alachua County,44047,-19.333333333333332,56
Alachua County,44048,-20.5,86
Alachua County,44049,-21.0,59
Alachua County,44050,-21.5,81
Alachua County,44051,-17.166666666666668,54
Alachua County,44052,-17.5,28
Alachua County,44053,-20.833333333333332,79
Alachua County,44054,-22.833333333333332,61
Alachua County,44055,-20.333333333333332,79
Alachua County,44056,-20.833333333333332,91
Alachua County,44057,-19.5,63
Alachua County,44058,-19.0,85
Alachua County,44059,-16.0,40
Alachua County,44065,-21.333333333333332,35
Alachua County,44072,-21.0,24
Alachua County,44085,-21.166666666666668,228
Alachua County,44086,-20.5,171
Alachua County,44087,-20.333333333333332,130
Alachua County,44088,-22.666666666666668,94
Alachua County,44089,-19.333333333333332,158
Alachua County,44090,-20.333333333333332,197
Alachua County,44091,-22.333333333333332,193
Alachua County,44092,-17.833333333333332,207
Alachua County,44093,-21.166666666666668,113
Alachua County,44094,-15.166666666666666,77
Alachua County,44095,-19.5,68
Alachua County,44096,-18.833333333333332,77
Alachua County,44097,-19.5,135
Alachua County,44098,-18.666666666666668,94
Alachua County,44099,-20.166666666666668,90
Alachua County,44100,-19.0,43
Alachua County,44101,-20.666666666666668,50
Alachua County,44102,-21.666666666666668,66
Alachua County,44103,-22.166666666666668,65
Alachua County,44104,-17.166666666666668,57
Alachua County,44105,-18.166666666666668,83
Alachua County,44106,-17.666666666666668,56
Alachua County,44107,-18.5,59
Alachua County,44108,-24.166666666666668,21
Alachua County,44109,-23.166666666666668,37
Alachua County,44110,-20.0,23
Alachua County,44111,-19.333333333333332,94
Alachua County,44112,-18.833333333333332,83
Alachua County,44113,-20.166666666666668,36
Alachua County,44114,-19.833333333333332,88
Alachua County,44115,-18.5,47
Alachua County,44116,-19.666666666666668,72
Alachua County,44117,-18.5,69
Alachua County,44118,-17.666666666666668,56
Alachua County,44119,-18.333333333333332,119
Alachua County,44120,-18.666666666666668,122
Alachua County,44121,-14.5,30
Alachua County,44122,-14.5,28
Alachua County,44123,-21.666666666666668,98
Alachua County,44124,-19.5,28
Alachua County,44125,-18.833333333333332,211
Alachua County,44126,-16.5,75
Alachua County,44127,-17.333333333333332,110
Alachua County,44128,-16.333333333333332,44
Alachua County,44129,-13.5,64
Alachua County,44130,-18.5,89
Alachua County,44131,-17.0,101
Alachua County,44132,-17.166666666666668,76
Alachua County,44133,-18.666666666666668,160
Alachua County,44134,-15.833333333333334,44
Alachua County,44135,-13.666666666666666,139
Alachua County,44136,-19.166666666666668,42
Alachua County,44137,-17.666666666666668,72
Alachua County,44138,-13.5,76
Alachua County,44139,-19.166666666666668,77
Alachua County,44140,-17.5,63
Alachua County,44141,-19.333333333333332,26
Alachua County,44142,-18.333333333333332,46
Alachua County,44143,-16.0,142
Alachua County,44144,-25.833333333333332,85
Alachua County,44145,-18.5,93
Alachua County,44146,-23.666666666666668,100
Alachua County,44147,-30.666666666666668,75
Alachua County,44148,-17.833333333333332,19
Alachua County,44149,-15.0,94
Alachua County,44150,-12.666666666666666,60
Alachua County,44151,-18.0,52
Alachua County,44152,-16.833333333333332,139
Alachua County,44153,-16.666666666666668,116
Alachua County,44154,-18.0,68
Alachua County,44155,-17.0,97
Alachua County,44156,-15.5,61
Alachua County,44157,-15.166666666666666,56
Alachua County,44158,-14.5,78
Alachua County,44159,-12.5,82
Alachua County,44160,-10.0,102
Alachua County,44161,-45.666666666666664,55
Alachua County,44162,-26.333333333333332,60
Alachua County,44163,-21.666666666666668,44
Alachua County,44164,-14.0,55
Alachua County,44165,-18.333333333333332,44
Alachua County,44166,-18.0,105
Alachua County,44167,-19.833333333333332,102
Alachua County,44168,-18.0,78
Alachua County,44169,-19.166666666666668,130
Alachua County,44170,-17.166666666666668,61
Alachua County,44171,-17.166666666666668,92
Alachua County,44172,-20.666666666666668,57
Alachua County,44173,-19.833333333333332,86
Alachua County,44174,-19.666666666666668,123
Alachua County,44175,-18.333333333333332,91
Alachua County,44176,-18.333333333333332,105
Alachua County,44177,-17.0,71
Alachua County,44178,-13.166666666666666,87
Alachua County,44179,-20.166666666666668,95
Alachua County,44180,-17.833333333333332,106
Alachua County,44181,-23.666666666666668,144
Alachua County,44182,-18.0,112
Alachua County,44183,-19.166666666666668,132
Alachua County,44184,-15.666666666666666,57
Alachua County,44185,-17.333333333333332,115
Alachua County,44186,-14.666666666666666,77
Alachua County,44187,-14.0,102
Alachua County,44188,-11.333333333333334,110
Alachua County,44189,-22.5,140
Alachua County,44190,-53.333333333333336,47
Alachua County,44191,-26.333333333333332,47
Alachua County,44192,-17.5,57
Alachua County,44193,-19.333333333333332,110
Alachua County,44194,-18.5,102
Alachua County,44195,-16.5,190
Alachua County,44196,-17.0,223
Alachua County,44197,-32.5,142
Alachua County,44198,-17.833333333333332,102
Alachua County,44199,-14.5,106
Alachua County,44200,-18.333333333333332,131
Alachua County,44201,-18.666666666666668,223
Alachua County,44202,-18.333333333333332,211
Alachua County,44203,-19.833333333333332,242
Alachua County,44204,-20.666666666666668,173
Bay County,43911,-8.166666666666666,1
Bay County,43915,-18.333333333333332,2
Bay County,43917,-18.666666666666668,2
Bay County,43918,-19.0,1
Bay County,43920,-22.166666666666668,1
Bay County,43921,-26.666666666666668,2
Bay County,43922,-18.0,5
Bay County,43923,-21.166666666666668,3
Bay County,43924,-28.0,6
Bay County,43926,-29.5,1
Bay County,43928,-28.0,4
Bay County,43929,-26.5,2
Bay County,43930,-26.0,5
Bay County,43931,-26.666666666666668,1
Bay County,43933,-42.0,2
Bay County,43935,-25.833333333333332,1
Bay County,43937,-20.833333333333332,4
Bay County,43938,-21.833333333333332,2
Bay County,43939,-25.833333333333332,10
Bay County,43940,-26.666666666666668,1
Bay County,43941,-24.333333333333332,2
Bay County,43943,-20.166666666666668,2
Bay County,43945,-16.666666666666668,3
Bay County,43946,-13.666666666666666,1
Bay County,43947,-11.5,3
Bay County,43948,-16.0,1
Bay County,43949,-16.5,1
Bay County,43950,-22.5,1
Bay County,43951,-13.166666666666666,2
Bay County,43952,-9.666666666666666,2
Bay County,43962,-6.5,1
Bay County,43965,-2.6666666666666665,3
Bay County,43966,1.0,4
Bay County,43967,11.833333333333334,1
Bay County,43968,14.833333333333334,1
Bay County,43969,-5.333333333333333,1
Bay County,43972,4.833333333333333,6
Bay County,43973,12.166666666666666,2
Bay County,43975,43.0,2
Bay County,43979,9.166666666666666,1
Bay County,43982,27.333333333333332,1
Bay County,43984,6.333333333333333,4
Bay County,43985,12.0,7
Bay County,43986,18.333333333333332,4
Bay County,43987,13.0,8
Bay County,43988,7.0,8
Bay County,43989,8.0,3
Bay County,43990,8.0,1
Bay County,43991,9.333333333333334,9
Bay County,43992,16.333333333333332,20
Bay County,43993,20.666666666666668,8
Bay County,43994,28.5,10
Bay County,43995,41.5,2
Bay County,43996,44.833333333333336,10
Bay County,43997,26.333333333333332,5
Bay County,43998,22.333333333333332,8
Bay County,44000,33.0,9
Bay County,44001,36.166666666666664,16
Bay County,44002,47.166666666666664,4
Bay County,44003,42.166666666666664,14
Bay County,44004,21.666666666666668,27
Bay County,44005,23.0,17
Bay County,44006,27.166666666666668,17
Bay County,44007,27.333333333333332,49
Bay County,44008,23.833333333333332,34
Bay County,44009,31.833333333333332,17
Bay County,44010,34.0,24
Bay County,44011,19.5,43
Bay County,44012,19.166666666666668,43
Bay County,44013,19.666666666666668,56
Bay County,44014,25.666666666666668,44
Bay County,44015,29.166666666666668,60
Bay County,44016,24.0,34
Bay County,44017,23.0,33
Bay County,44018,13.333333333333334,72
Bay County,44019,11.333333333333334,63
Bay County,44020,20.5,58
Bay County,44021,19.0,94
Bay County,44022,17.833333333333332,67
Bay County,44023,26.833333333333332,86
Bay County,44024,27.0,122
Bay County,44025,14.666666666666666,104
Bay County,44026,15.333333333333334,93
Bay County,44027,19.333333333333332,81
Bay County,44028,24.0,135
Bay County,44029,23.0,109
Bay County,44030,28.333333333333332,152
Bay County,44031,27.666666666666668,107
Bay County,44032,12.166666666666666,90
Bay County,44033,14.333333333333334,81
Bay County,44034,19.5,91
Bay County,44035,12.833333333333334,120
Bay County,44036,17.666666666666668,382
Bay County,44037,24.0,124
Bay County,44038,21.833333333333332,49
Bay County,44039,13.0,122
Bay County,44040,3.3333333333333335,114
Bay County,44041,11.0,101
Bay County,44042,18.0,96
Bay County,44043,19.333333333333332,155
Bay County,44044,30.5,64
Bay County,44045,28.0,32
Bay County,44046,14.5,195
Bay County,44047,12.166666666666666,64
Bay County,44048,13.333333333333334,82
Bay County,44049,15.5,112
Bay County,44050,17.5,190
Bay County,44051,30.333333333333332,49
Bay County,44052,26.833333333333332,9
Bay County,44053,9.0,70
Bay County,44054,2.5,37
Bay County,44055,8.833333333333334,99
Bay County,44056,13.166666666666666,77
Bay County,44057,8.666666666666666,68
Bay County,44058,18.5,38
Bay County,44059,24.5,17
Bay County,44085,6.666666666666667,39
Bay County,44086,15.333333333333334,23
Bay County,44087,10.666666666666666,11
Bay County,44088,-9.166666666666666,27
Bay County,44089,-27.166666666666668,13
Bay County,44090,-33.333333333333336,22
Bay County,44091,2.0,13
Bay County,44092,7.166666666666667,41
Bay County,44093,21.333333333333332,38
Bay County,44094,16.0,34
Bay County,44095,3.6666666666666665,15
Bay County,44096,4.333333333333333,30
Bay County,44097,5.0,47
Bay County,44098,4.833333333333333,29
Bay County,44099,6.666666666666667,41
Bay County,44100,18.5,16
Bay County,44101,-0.5,8
Bay County,44102,-0.5,42
Bay County,44103,-1.0,18
Bay County,44104,1.6666666666666667,27
Bay County,44105,4.166666666666667,16
Bay County,44106,4.0,23
Bay County,44107,16.5,11
Bay County,44108,15.166666666666666,7
Bay County,44109,3.6666666666666665,15
Bay County,44110,3.8333333333333335,11
Bay County,44111,4.166666666666667,21
Bay County,44112,2.6666666666666665,19
Bay County,44113,3.1666666666666665,13
Bay County,44114,9.5,26
Bay County,44115,15.333333333333334,2
Bay County,44116,5.5,45
Bay County,44117,3.3333333333333335,19
Bay County,44118,5.666666666666667,28
Bay County,44119,7.833333333333333,17
Bay County,44120,7.166666666666667,28
Bay County,44121,17.0,13
Bay County,44122,12.0,3
Bay County,44123,-0.5,27
Bay County,44124,-1.8333333333333333,33
Bay County,44125,2.5,63
Bay County,44126,8.0,45
Bay County,44127,9.5,27
Bay County,44128,14.0,12
Bay County,44129,13.666666666666666,11
Bay County,44130,-3.5,55
Bay County,44131,-8.833333333333334,47
Bay County,44132,-3.3333333333333335,24
Bay County,44133,-3.6666666666666665,57
Bay County,44134,3.0,17
Bay County,44135,13.833333333333334,22
Bay County,44136,8.833333333333334,7
Bay County,44137,-6.666666666666667,73
Bay County,44138,-9.0,31
Bay County,44139,-8.166666666666666,46
Bay County,44140,-7.5,27
Bay County,44141,-5.833333333333333,22
Bay County,44142,2.3333333333333335,31
Bay County,44143,1.6666666666666667,77
Bay County,44144,-7.166666666666667,60
Bay County,44145,-9.166666666666666,70
Bay County,44146,-9.0,37
Bay County,44147,-6.333333333333333,52
Bay County,44148,-6.666666666666667,63
Bay County,44149,1.6666666666666667,132
Bay County,44150,2.6666666666666665,54
Bay County,44151,-7.666666666666667,67
Bay County,44152,-9.333333333333334,93
Bay County,44153,-9.333333333333334,53
Bay County,44154,-7.0,100
Bay County,44155,-6.0,70
Bay County,44156,4.833333333333333,98
Bay County,44157,5.0,19
Bay County,44158,-4.833333333333333,70
Bay County,44159,-3.0,46
Bay County,44160,2.8333333333333335,49
Bay County,44161,-36.0,16
Bay County,44162,-7.0,52
Bay County,44163,-4.5,34
Bay County,44164,-10.166666666666666,16
Bay County,44165,-11.166666666666666,71
Bay County,44166,-11.333333333333334,187
Bay County,44167,-11.5,169
Bay County,44168,-8.666666666666666,74
Bay County,44169,-12.666666666666666,73
Bay County,44170,-3.1666666666666665,160
Bay County,44171,-5.0,24
Bay County,44172,-14.0,45
Bay County,44173,-14.0,60
Bay County,44174,-12.0,54
Bay County,44175,-10.0,135
Bay County,44176,-7.666666666666667,139
Bay County,44177,-3.1666666666666665,126
Bay County,44178,-6.5,33
Bay County,44179,-13.5,107
Bay County,44180,-10.833333333333334,174
Bay County,44181,-15.166666666666666,189
Bay County,44182,-11.333333333333334,145
Bay County,44183,-11.5,43
Bay County,44184,-3.3333333333333335,173
Bay County,44185,-10.166666666666666,60
Bay County,44186,-5.0,85
Bay County,44187,-4.166666666666667,179
Bay County,44188,2.3333333333333335,145
Bay County,44189,-19.666666666666668,135
Bay County,44190,-49.833333333333336,44
Bay County,44191,-12.166666666666666,57
Bay County,44192,-0.8333333333333334,47
Bay County,44193,-3.6666666666666665,137
Bay County,44194,-2.8333333333333335,210
Bay County,44195,2.6666666666666665,156
Bay County,44196,-0.5,166
Bay County,44197,-32.833333333333336,57
Bay County,44198,-16.666666666666668,130
Bay County,44199,-1.0,101
Bay County,44200,-8.333333333333334,115
Bay County,44201,-9.0,182
Bay County,44202,-12.166666666666666,186
Bay County,44203,-17.5,87
Bay County,44204,-15.5,194
Brevard County,43907,6.166666666666667,1
Brevard County,43908,0.8333333333333334,1
Brevard County,43909,-5.666666666666667,1
Brevard County,43910,-11.333333333333334,1
Brevard County,43911,-17.0,1
Brevard County,43912,-20.0,2
Brevard County,43914,-15.166666666666666,4
Brevard County,43915,-16.666666666666668,1
Brevard County,43916,-15.0,3
Brevard County,43917,-20.833333333333332,10
Brevard County,43918,-23.666666666666668,3
Brevard County,43919,-26.0,1
Brevard County,43920,-22.0,5
Brevard County,43921,-19.333333333333332,4
Brevard County,43922,-16.5,10
Brevard County,43923,-16.166666666666668,3
Brevard County,43924,-26.833333333333332,14
Brevard County,43925,-30.5,10
Brevard County,43926,-40.833333333333336,5
Brevard County,43927,-27.5,12
Brevard County,43928,-22.833333333333332,6
Brevard County,43929,-24.5,7
Brevard County,43930,-24.0,5
Brevard County,43931,-27.666666666666668,10
Brevard County,43932,-27.333333333333332,5
Brevard County,43933,-42.0,9
Brevard County,43934,-27.166666666666668,20
Brevard County,43935,-23.833333333333332,9
Brevard County,43936,-24.0,14
Brevard County,43937,-30.833333333333332,15
Brevard County,43938,-27.0,14
Brevard County,43939,-31.333333333333332,3
Brevard County,43940,-25.833333333333332,4
Brevard County,43941,-29.0,8
Brevard County,43942,-19.833333333333332,3
Brevard County,43943,-19.666666666666668,1
Brevard County,43944,-22.5,11
Brevard County,43945,-35.666666666666664,11
Brevard County,43946,-25.166666666666668,5
Brevard County,43947,-24.5,9
Brevard County,43948,-19.833333333333332,7
Brevard County,43949,-18.5,2
Brevard County,43950,-19.0,14
Brevard County,43951,-24.333333333333332,4
Brevard County,43952,-17.166666666666668,7
Brevard County,43953,-14.333333333333334,4
Brevard County,43954,-15.5,8
Brevard County,43955,-17.333333333333332,9
Brevard County,43956,-13.333333333333334,4
Brevard County,43957,-15.166666666666666,3
Brevard County,43958,-13.5,3
Brevard County,43959,-13.333333333333334,2
Brevard County,43961,-23.833333333333332,1
Brevard County,43962,-15.333333333333334,13
Brevard County,43963,-12.0,2
Brevard County,43964,-12.5,1
Brevard County,43965,-13.833333333333334,9
Brevard County,43966,-17.333333333333332,5
Brevard County,43967,-16.166666666666668,6
Brevard County,43968,-8.666666666666666,2
Brevard County,43969,-17.5,2
Brevard County,43970,-11.833333333333334,3
Brevard County,43971,-9.833333333333334,2
Brevard County,43972,-11.5,4
Brevard County,43973,-8.666666666666666,10
Brevard County,43974,-4.5,3
Brevard County,43975,-5.666666666666667,7
Brevard County,43977,-11.5,1
Brevard County,43978,5.833333333333333,2
Brevard County,43979,-10.333333333333334,5
Brevard County,43980,-9.333333333333334,8
Brevard County,43981,15.833333333333334,7
Brevard County,43982,-5.833333333333333,3
Brevard County,43983,-12.333333333333334,3
Brevard County,43984,-15.666666666666666,1
Brevard County,43985,-14.166666666666666,2
Brevard County,43986,-17.5,6
Brevard County,43987,-15.833333333333334,13
Brevard County,43988,-16.666666666666668,4
Brevard County,43989,-15.166666666666666,9
Brevard County,43990,-13.333333333333334,7
Brevard County,43991,-10.166666666666666,14
Brevard County,43992,-9.166666666666666,18
Brevard County,43993,-8.166666666666666,15
Brevard County,43994,-7.166666666666667,22
Brevard County,43995,-3.6666666666666665,8
Brevard County,43996,-7.333333333333333,23
Brevard County,43997,-10.0,38
Brevard County,43998,-4.5,40
Brevard County,43999,-7.833333333333333,38
Brevard County,44000,-9.833333333333334,51
Brevard County,44001,-15.333333333333334,56
Brevard County,44002,-5.5,57
Brevard County,44003,-6.166666666666667,29
Brevard County,44004,-11.833333333333334,46
Brevard County,44005,-10.5,106
Brevard County,44006,-10.0,130
Brevard County,44007,-11.333333333333334,147
Brevard County,44008,-10.166666666666666,251
Brevard County,44009,-9.166666666666666,88
Brevard County,44010,-10.333333333333334,84
Brevard County,44011,-12.666666666666666,76
Brevard County,44012,-6.666666666666667,178
Brevard County,44013,-13.0,212
Brevard County,44014,-7.0,184
Brevard County,44015,-10.833333333333334,90
Brevard County,44016,-19.0,67
Brevard County,44017,-19.0,69
Brevard County,44018,-16.333333333333332,114
Brevard County,44019,-11.333333333333334,104
Brevard County,44020,-12.333333333333334,172
Brevard County,44021,-9.666666666666666,119
Brevard County,44022,-14.833333333333334,140
Brevard County,44023,-13.333333333333334,130
Brevard County,44024,-12.666666666666666,137
Brevard County,44025,-12.833333333333334,123
Brevard County,44026,-14.166666666666666,94
Brevard County,44027,-11.5,88
Brevard County,44028,-8.333333333333334,142
Brevard County,44029,-11.5,117
Brevard County,44030,-9.833333333333334,157
Brevard County,44031,-8.833333333333334,80
Brevard County,44032,-12.5,117
Brevard County,44033,-11.166666666666666,150
Brevard County,44034,-15.333333333333334,100
Brevard County,44035,-12.5,97
Brevard County,44036,-12.0,145
Brevard County,44037,-8.333333333333334,65
Brevard County,44038,-11.166666666666666,105
Brevard County,44039,-18.0,88
Brevard County,44040,-15.833333333333334,91
Brevard County,44041,-14.5,80
Brevard County,44042,-8.333333333333334,89
Brevard County,44043,-10.333333333333334,98
Brevard County,44044,-13.0,65
Brevard County,44045,-34.666666666666664,35
Brevard County,44046,-18.0,53
Brevard County,44047,-17.5,42
Brevard County,44048,-18.333333333333332,93
Brevard County,44049,-11.666666666666666,55
Brevard County,44050,-14.666666666666666,110
Brevard County,44051,-9.666666666666666,103
Brevard County,44052,-11.0,35
Brevard County,44053,-15.5,93
Brevard County,44054,-16.5,55
Brevard County,44055,-17.0,62
Brevard County,44056,-13.5,80
Brevard County,44057,-14.5,87
Brevard County,44058,-12.833333333333334,30
Brevard County,44059,-13.833333333333334,26
Brevard County,44060,-19.166666666666668,75
Brevard County,44061,-13.833333333333334,50
Brevard County,44062,-16.0,87
Brevard County,44063,-17.666666666666668,44
Brevard County,44064,-16.0,90
Brevard County,44065,-12.666666666666666,23
Brevard County,44066,-14.0,35
Brevard County,44067,-17.833333333333332,24
Brevard County,44068,-14.666666666666666,67
Brevard County,44069,-15.166666666666666,50
Brevard County,44070,-14.833333333333334,42
Brevard County,44071,-14.666666666666666,51
Brevard County,44072,-13.0,19
Brevard County,44073,-16.666666666666668,32
Brevard County,44074,-17.5,143
Brevard County,44075,-12.666666666666666,45
Brevard County,44076,-13.833333333333334,41
Brevard County,44077,-10.666666666666666,66
Brevard County,44078,-13.166666666666666,66
Brevard County,44079,-9.833333333333334,34
Brevard County,44080,-9.666666666666666,21
Brevard County,44081,-18.666666666666668,34
Brevard County,44082,-13.333333333333334,56
Brevard County,44083,-15.666666666666666,44
Brevard County,44084,-12.166666666666666,73
Brevard County,44085,-14.666666666666666,65
Brevard County,44086,-19.666666666666668,34
Brevard County,44087,-20.0,35
Brevard County,44088,-14.5,57
Brevard County,44089,-10.333333333333334,47
Brevard County,44090,-15.833333333333334,95
Brevard County,44091,-11.0,67
Brevard County,44092,-14.833333333333334,90
Brevard County,44093,-11.5,43
Brevard County,44094,-24.5,31
Brevard County,44095,-14.666666666666666,74
Brevard County,44096,-13.0,78
Brevard County,44097,-14.166666666666666,62
Brevard County,44098,-12.333333333333334,93
Brevard County,44099,-16.0,72
Brevard County,44100,-11.5,42
Brevard County,44101,-13.666666666666666,9
Brevard County,44102,-19.666666666666668,135
Brevard County,44103,-15.666666666666666,67
Brevard County,44104,-13.5,116
Brevard County,44105,-11.5,63
Brevard County,44106,-11.833333333333334,114
Brevard County,44107,-19.333333333333332,38
Brevard County,44108,-17.166666666666668,25
Brevard County,44109,-16.333333333333332,115
Brevard County,44110,-11.833333333333334,63
Brevard County,44111,-13.333333333333334,90
Brevard County,44112,-10.666666666666666,116
Brevard County,44113,-13.333333333333334,75
Brevard County,44114,-15.833333333333334,61
Brevard County,44115,-15.0,25
Brevard County,44116,-13.333333333333334,91
Brevard County,44117,-10.666666666666666,82
Brevard County,44118,-12.166666666666666,77
Brevard County,44119,-10.166666666666666,81
Brevard County,44120,-12.166666666666666,78
Brevard County,44121,-10.0,44
Brevard County,44122,-16.166666666666668,30
Brevard County,44123,-17.0,102
Brevard County,44124,-11.666666666666666,72
Brevard County,44125,-14.333333333333334,146
Brevard County,44126,-11.166666666666666,103
Brevard County,44127,-13.333333333333334,150
Brevard County,44128,-11.5,57
Brevard County,44129,-15.666666666666666,28
Brevard County,44130,-13.5,168
Brevard County,44131,-10.166666666666666,74
Brevard County,44132,-12.0,185
Brevard County,44133,-9.5,135
Brevard County,44134,-10.5,106
Brevard County,44135,-10.0,95
Brevard County,44136,-20.5,44
Brevard County,44137,-16.0,152
Brevard County,44138,-7.833333333333333,161
Brevard County,44139,-15.0,122
Brevard County,44140,-12.333333333333334,113
Brevard County,44141,-14.5,142
Brevard County,44142,-14.333333333333334,111
Brevard County,44143,-19.333333333333332,83
Brevard County,44144,-25.0,146
Brevard County,44145,-17.166666666666668,173
Brevard County,44146,-17.333333333333332,75
Brevard County,44147,-16.333333333333332,146
Brevard County,44148,-13.5,151
Brevard County,44149,-13.0,143
Brevard County,44150,-6.0,51
Brevard County,44151,-15.333333333333334,154
Brevard County,44152,-12.0,146
Brevard County,44153,-14.833333333333334,166
Brevard County,44154,-14.0,188
Brevard County,44155,-15.833333333333334,163
Brevard County,44156,-17.0,103
Brevard County,44157,-20.166666666666668,81
Brevard County,44158,-12.0,165
Brevard County,44159,-6.333333333333333,170
Brevard County,44160,-4.833333333333333,229
Brevard County,44161,-40.333333333333336,49
Brevard County,44162,-20.833333333333332,104
Brevard County,44163,-14.666666666666666,132
Brevard County,44164,-11.666666666666666,62
Brevard County,44165,-18.166666666666668,191
